address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
222 N Monterey St B,447 Square Foot Attached Garage To Accessory Dwelling Unit Conversion,[DEV2020-00284] ADU GARAGE CONVERSION,Residential,In Review,11/19/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1338 E Katella Ave,"Request To Permit A Final Site Plan For A Mixed-Use Development Consisting Of 270 Residential Units And 21,615 Square Feet Of Ground-Floor Commercial Space In Development Area B Of The Existing A-Town Development.",A-Town - Development Area B,Other,Approved,11/24/2020,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
1845 S State College Blvd,Request To Permit A Final Site Plan For 257 Multi-Family Residential Units In Development Area E Of The A-Town Development.,A-Town - Development Area E,Residential,Approved,11/24/2020,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
2121 S Towne Centre Pl,Request For A Conditional Use Permit To Construct A 925 Square Foot Cafe In An Existing Office Complex.,[DEV2020-00289] AXIS CAFE,Commercial,In Review,11/24/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1919 S State College Blvd,"Tenant Improvement: 26,744 Interior Renovation And New Storefront With Glazing. Replacement Hvac. ""The Gas Company""",[DEV2020-00293] THE GAS COMPANY,Other,In Review,12/2/2020,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
1204 N Brookhurst St,A Request To Approve A Tentative Parcel Map To Construct Three Single-Family Residences And Three Accessory Dwelling Units.,1204 N. Brookhurst Three Custom Home Development,Residential,In Review,12/3/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2000 E Gene Autry Way 4,City Initiated Gpa And Annexation Related To The Angel Stadium Redevelopment Project For Area 2a,[DEV2020-00295] ANGELS SLIVER,Other,In Review,12/7/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1400 S Douglass Rd 125,Request To Permit A New Vocational College In An Existing Office Building.,[DEV2020-00296] PLATT COLLEGE,Commercial,In Review,12/7/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1150 N Harbor Blvd 170,The Applicant Requests Approval Of A Determination Of Public Convenience Or Necessity For Off-Premises Sale Of Alcoholic Beverages At An Existing Convenience Store In Conjunction With A Type 21 (Off-Sale General) Abc License.,[DEV2020-00299A] CIRCLE K,Commercial,Approved,3/24/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1189 N Grove St B,A Conditional Use Permit To Permit A Hazardous Waste Transfer Station,[DEV2021-00004] WASTE TRANSFER STATION,Other,Approved,1/12/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2870 E La Palma Ave,"New Commercial Construction: 181,409 Sq Ft Of Warehouse (S-1) And 6,111 Sq Ft Of Office Space (B) On First Level And Mezzanine.",[DEV2021-00006] DUKE REALTY LA PALMA WAREHOUSE,Other,In Review,1/14/2021,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
710 N Euclid St,Tenant Improvement Within Existing Medical Building,[DEV2021-00009] MEDICAL BLDG TI,Commercial,In Review,1/20/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1071 N Tustin Ave,New Drive-Thru Restaurant Pad Building Within Existing Shopping Center.,Link OC Drive Through Restaurant,Other,In Review,2/9/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
101 W Katella Ave,A Request For A Conditional Use Permit And Final Site Plan To Increase A Convenience Store From 2400 S.F. To 3350 S.F. And Tenant Improvement Of Existing Store.,[DEV2021-00022] 7 ELEVEN - 101 W. KATELLA,Commercial,In Review,2/10/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1075 N Harbor Blvd,Request For A Conditional Use Permit And Tentative Tract Map To Permit 31 Single-Family Attached Townhomes With Modified Development Standards.,[DEV2021-00023] ANAHEIM B - 31 TOWNHOMES,Residential,Approved,2/10/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2664 W Chanticleer Rd B,Conversion Of An Unpermitted Cabana To An Accessory Dwelling Unit 420 Sf,[DEV2021-00031] ADU,Residential,Approved,2/17/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3370 E La Palma Ave,Proposed Distribution Center,[DEV2021-00038] DISTRIBUTION CENTER,Other,In Review,3/1/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
876 S Harbor Blvd,To Establish An Educational Institution (Montessori School) In An Existing Office Building,[DEV2021-00041] ANAHEIM MONTESSORI INTERNATION,Commercial,Approved,3/2/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
212 S State College Blvd,Request To Permit A Conditional Use Permit To Allow The Sales Of Beer And Wine For On-Premises Consumption At A Restaurant,[DEV2021-00045] WINGSTOP BEER AND WINE,Commercial,Approved,3/9/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
8163 E Kaiser Blvd,"Amend Cup2013-05660 To Remodel Facade And Add 5,315 Sf. Outdoor Plaza.",[DEV2021-00046] INFLUENCE CHURCH-FACADE/PLAZA,Commercial,In Review,3/9/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
3370 E La Palma Ave,"148,559 Sf Of Roof Seismic Retrofit",[DEV2021-00049] T.I.,Industrial,In Review,3/10/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1560 S Lewis St,Request To Permit A Conditional Use Permit To Allow The Sales Of Alcoholic Beverages For Off-Premises Consumption In Conjunction With An Existing Multi-Kitchen Food Delivery Facility.,[DEV2021-00050] LEWIS STREET KITCHEN,Commercial,In Review,3/10/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
3701 W Mungall Dr,Conceptual Development Review Of A Proposed 24 Unit Apartment Building,[DEV2021-00051] MUNGALL APARTMENTS,Residential,In Review,3/10/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
5515 E La Palma Ave 100,"Interior Office Tenant Improvement For 18,073 Square Feet.",[DEV2021-00052] PARSEC,Other,In Review,3/16/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1430 S Anaheim Blvd,Approval Of A Conditonal Use Permit To Allow A Showroom For California Mantel & Fireplace Inc.,[DEV2021-00055] CALIFORNIA MANTEL & FIREPLACE,Other,In Review,3/16/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
3855 E La Palma Ave,"New 40,400 Sf. Industrial Building",[DEV2021-00057] INDUSTRIAL BUILDING,Other,In Review,3/16/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1970 S Santa Cruz St,"5,600 Sf Of T.I.",[DEV2021-00058] TRI ENVIROMENTAL,Industrial,In Review,3/17/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
110 W Midway Dr,Affordable Housing Density Bonus For 4-Story Housing Development.,[DEV2021-00059],Residential,Approved,3/17/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1039 N Liberty Ln B,Garage Conversion To An Accessory Dwelling Unit 532 Sf,[DEV2021-00062] ADU,Residential,In Review,3/23/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
900 E Ball Rd,"Conceptual Development Review For A New 105,000 Sf Tilt-Up Warehouse Building",[DEV2021-00064],Other,In Review,3/23/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2412 W Rainbow Ave,"Applicant Proposes A New Detached Accessory Dwelling Unit With 1,200 Square Feet, 4 Bedrooms, And 3 Bathrooms.",[DEV2021-00065] RAINBOW ADU,Residential,In Review,3/23/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1900 S State College Blvd 600,"22,607 Sf Of Office T.I.",[DEV2021-00068] T.I.,Other,In Review,3/25/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1313 S Harbor Blvd,"Conceptual Development Review For The Disneylandforward Project, Including An Amendment To The Disneyland Resort Specific Plan And Anaheim Resort Specific Plan.",[DEV2021-00069] DISNEYLANDFORWARD,Other,In Review,3/26/2021,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
2451 W La Palma Ave,A Request To Amend A Conditional Use Permit To Permit And Retain An Educational Institution At An Existing Teleconference Center.,Living Stream Ministry,Commercial,In Review,3/29/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1446 E Blossom Ln B,400 Sf Garage Conversion,[DEV2021-00072],Residential,In Review,3/30/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
860 S Peralta Hills Dr,A Request To Approve A Tentative Parcel Map To Subdivide A Property Into Three Lots For Three New Single Family Residences.,Vyas Development,Residential,In Review,3/31/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
231 E Florence Ave B,Conversion Of An Existing Gargare To An Accessory Dwelling Unit 363 Sf,[DEV2021-00074] ADU,Residential,In Review,3/31/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
246 N Pageant St B,Applicant Proposes To Convert An Existing Two-Car Garage Into An Accessory Dwelling Unit.,[DEV2021-00075] ADU PAGEANT,Residential,In Review,4/1/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1177 N Grove St,"Interior Tenant Improvement For 17,213 Square Feet For Restrooms, Furnishing, Equipment Installation, And Warehouse Area.",[DEV2021-00076] BROOK & WHITTLE LTD,Industrial,In Review,4/5/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2695 E Katella Ave,"10,895 Sf Ti On Level 200,300,400",[DEV2021-00077] HONDA CENTER TI,Commercial,In Review,4/5/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
618 W Grafton Pl,Convert Existing Garage Into A Junior Accessory Dwelling Unit.,[DEV2021-00081] J-ADU,Residential,In Review,4/9/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
850 S Western Ave,Conceptual Development Review For A Lot Line Adjustment For The Construction Of Two New Single Family Residential Units.,[DEV2021-00089] 850 S WESTERN LOT LINE ADJ,Residential,In Review,4/23/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1257 N Siesta St,400 Sf Garage Conversion,[DEV2021-00091] ADU GARAGE CONVERSION,Residential,In Review,4/26/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
100 S Manchester Ave,Request Approval For A New Administrative Office And Bus Maintenance Facility For Atn,ATN Maintenance Facility,Commercial,Approved,4/27/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
4125 E La Palma Ave 250,"Office T.I. 13,048 Sf",[DEV2021-00102] OFFICE T.I.,Other,In Review,5/10/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
720 W La Palma Ave,A Request For A Conditional Use Permit For A New 1825 S.F. Drive-Through Pad At An Existing Shopping Center Site.,[DEV2021-00113] NORTHGATE MARKET,Commercial,In Review,5/24/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
227 N Magnolia Ave,"A Request To Amend A Conditional Use Permit To Reduce The Height Of A Building, Add An Outdoor Play Area, Reconfigure A Fire Lane, And Relocate A Trash Enclosure",[DEV2021-00114] VICTORY BAPTIST CHURCH & SCHOO,Commercial,Approved,5/25/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1860 S Lewis St,A Conceptual Development Review Application To Permit A New Maintenance Building And Associated Site Improvements For An Outdoor Storage Yard.,[DEV2021-00115] MARINA LANDSCAPING,Other,In Review,5/26/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2664 W Lincoln Ave,Add Sales Of Alcohol As Primary Business,[DEV2021-00118] AMERIGO OFF-SALE LICENSE,Commercial,Approved,6/1/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
520 S Greenwich St,A Request For A Conditional Use Permit To Permit A Sober Living Facility (Large) In An Existing Single-Family Residence,RECOVERING LIFE MINISTRIES Sober Living Home,Other,Withdrawn,6/2/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
626 N West St,A Request For A Conditional Use Permit To Permit Transitional Housing For Up To 20 Women Participants Plus A Manager In An Existing Single-Family Residence,[DEV2021-00122] GRANDMAS HOUSE OF HOPE WEST ST,Other,Denied,6/2/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1200 S Anaheim Blvd,"A Request To Construct A Total Of 223 Residential Units (187 Townhome And 36 Flats) Ranging From Three To Four Stories, With 4,586 Square Feet Of Commercial Space. A General Plan Amendment, Conditional Use Permit, And Tentative Tract Map Are Being Requested.",Anaheim/Ball Mixed Use,Other,Approved,6/3/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
270 E Palais Rd,"Cdr For Demolition Of Existing Building And Build New 100,000 Sf Building",[DEV2021-00125] 270 PALAIS INDUSTRIAL BLDG,Industrial,In Review,6/4/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1100 N Tustin Ave,Request To Demolish An Existing Office Building And For A Conditional Use Permit To Construct A New Carwash.,[DEV2021-00126] CAR WASH ON TUSTIN,Other,In Review,6/7/2021,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1772 S Gardenaire Ln B,New Attached 736 Sf Accessory Dwelling Unit,[DEV2021-00129] ADU,Residential,In Review,6/16/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2650 W Lincoln Ave,New Construction: 80-100 Unit Hotel Development.,[DEV2021-00130],Other,In Review,6/16/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
 Tract 17703,Request To Permit A Final Site Plan For An Attached Single-Family Development Consisting Of 73 Residential Units In Development Area F Of The Existing A-Town Development. A Conditional Use Permit To Allow For Private Patios Larger Than Permitted By Code In Setback Between Buildings And Ground-Mounted Mechanical Equipment Within The Interior Structural Setback.,A-Town - Development Area F,Residential,Approved,6/22/2021,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
201 E Cypress St,A Coneptual Development Review For A Remodel And Addition For A New School,[DEV2021-00132] SCHOLARSHIP PREP ANAHEIM,Commercial,In Review,6/21/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1030 W Ball Rd,Demolish Two Existing Hotels Located At 1030 And 1042 W. Ball To Consolidate The Parcels And Construct A New 5-Story Hotel With Subterranean Parking.,"Sunstone Development, LLC Hotel",Other,In Review,6/23/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1655 S Euclid St,Request For A Conditional Use Permit To Convert An Existing Office Building To Meditation Center.,Meditation Center (Religious Retreat),Commercial,In Review,6/24/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
7788 E Santa Ana Canyon Rd,"A Request For A General Plan Amendment, Zoning Reclassification For A New Specific Plan, And Tentative Tract Map To Construct 498 Apartments And Six Single-Family Detached Homes.",The Hills Preserve,Residential,In Review,6/29/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2144 S Harbor Blvd,"Outdoor Patio With 26 Seats, Replace Signage For Taco Bell",[DEV2021-00139],Other,In Review,7/6/2021,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
532 N Magnolia Ave,Request For A Cup To Permit And Retain U-Haul Rental With 5 Associated Parking Spaces,U-HAUL,Other,Approved,7/6/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
440 S Gilbuck Dr,Minor Conditional Use Permit For Short Term Rental Conveyance Application,[DEV2021-00151],Residential,Approved,7/16/2021,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
3370 E La Palma Ave,"Change Of Use: Built Out Of Shell New (S1) Industrial 136,991 Sq.Ft, Vanloading/Unloading Only (A3) 5,131 Sq.Ft Breakroom/Training, (B) 692 Sq.Ft Offices, New Restrooms. Facade Renovation, Canopy Entrance 277 Sq.Ft. ""Amazon""",[DEV2021-00152] AMAZON,Other,In Review,7/19/2021,Planning@anaheim.net,(714) 765-4959,Anaheim,Arlette Kim
129 W Guinida Ln,Conversion Of Existing Garage Into Four Accessory Dwelling Units. Two Accessory Dwelling Units In Each Building.,[DEV2021-00153] GUINIDA ADU 2,Residential,In Review,7/21/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
4155 E La Palma Ave,Tentative Parcel Map For Industrial Condominiums,La Palma Industrial Parcel Map - Condominiums,Residential,In Review,7/23/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
145 S Vista Grande,"A Request For Amendment To The Circulation Element Of The General Plan To Add A New Access Point On Santa Ana Canyon Road, And To Subdivide An Existing 3.48-Acre Parcel Into Two Parcels.",VISTA GRANDE PARCEL MAP,Residential,In Review,7/23/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2000 E Gene Autry Way,A Conditional Use Permit To Permit And Retain The Continued Operation Of The Angels Stadium,[DEV2021-00159] ANGELS STADIUM,Commercial,In Review,7/28/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
4155 E La Palma Ave,"Proposed T.I. For 57,465 Sf",[DEV2021-00162] T.I.,Industrial,In Review,7/30/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2790 E Lincoln Ave,Proposed Gas Station With Convenience Store With Type-20 Abc Sales; Demolition Of An Existing  Commercial Building.,[DEV2021-00163] GAS STATION WITH C-STORE,Commercial,In Review,8/2/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
5604 E La Palma Ave,Conditional Use Permit To Obtain Automotive Dealers License,[DEV2021-00164],Other,Approved,8/3/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1593 W Cerritos Ave,A Request For A Conditional Use Permit To Increase Capacity For A Family Home Daycare To Establish A Daycare Center (14 To 30 Children).,Anaheim Preschool Academy Day Care,Commercial,In Review,8/12/2021,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
2200 E Katella Ave,Cup To Permit And Retain An Existing Entertainment Venue,[DEV2021-00172] THE GROVE,Commercial,In Review,8/17/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2420 E Lincoln Ave,A Request For A Conditional Use Permit (To Allow Attached Single-Family Residential Units) And Tentative Tract Map To Construct 83 Single-Family Attached Townhomes With Modified Development Standards. The Residential Opportunity (Ro) Overlay Zone Will Apply.,SUNKIST LINCOLN TOWNHOMES,Residential,In Review,8/31/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1226 N Olive St,Request To Permit A Tentative Parcel Map To Merge A Total Of Five Parcels Into One Parcel. No Development Or Construction Is Currently Proposed.,[DEV2021-00186] Nor-Cal Beverage,Industrial,Approved,9/13/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
508 S Brookhurst St,Proposed 5-Story Building For Senior Assisted Living.,[DEV2021-00187] 508 SENIOR ASSISTED LIVING,Other,In Review,9/13/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1442 N Dale Ave,A Request For A Conditional Use Permit And Tentative Tract Map To Permit An 18-Unit Two-Story Single-Family Attached Townhome Project With 10 Percent Of The Units Affordabel To Moderate Income Buyers,1442 N DALE AVENUE TOWNHOMES,Residential,In Review,9/14/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
517 E La Palma Ave,Request For A Conditional Use Permit To Construct An Office Building With A Floor Area Ratio Greater Than Permitted By Code,[DEV2021-00189] ORANGE COUNTY ERECTORS,Other,In Review,9/15/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1098 N Euclid St,A Request For A Conditional Use Permit To Demolish An Existing Commercial Building And Construct A Two New Drive-Through Restaurant In Existing Commercial Retail Center.,Euclid Starbucks,Commercial,In Review,9/28/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2219 W Orange Ave,A Request For The Development Of 24 Townhomes Through The Following Entitlements:  I. General Plan Amendment From Residential-Corridor To Residential-Low Medium Ii. Zoning Reclassification From Transition To Rm-3 Iii. Conditional Use Permit For Rm-3 Zone Development Of Multi Family Residential Iv. Subdivision Parcel Map To Create Two Parcels Out Of One.    Previously Reviewed As Pre2021-00026,Orange Avenue Townhomes,Residential,In Review,9/29/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2000 E Gene Autry Way 4,"City Initiated Gpa An Annexation For Areas 1, 1a, 2, And 3",[DEV2021-00203]  SAR REORGANIZATION PROJECT,Other,Hearing Scheduled,10/7/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1011 S East St,A Request For A Minor Cup For The Conversion Of An Portion Of An Existing Kaiser Permanente Warehouse Space To Offices For Call Center With Ancillary Spaces To Be Occupied By Oc New Member Support And Primary Care For Kaiser.,[DEV2021-00208] Kaiser East Street Call Center Remodel,Industrial,Approved,10/13/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2003 E Orangewood Ave,A Request To Permit Outdoor Trailer Storage With Perimeter Fencing On A Vacant Eight Acre Lot,State College Blvd. and Orangewood Avenue Outdoor Storage,Industrial,In Review,10/20/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
3410 E La Palma Ave,11th Annual Review,Kaiser Development Agreement Annual Review,Commercial,Approved,10/22/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1847 S Mountain View Ave,"Conceptual Development Review Application For The Phased Construction Of 1,163 Hotel Rooms, 1,108 Residential Units, 32,450 Sf Retail, And 2,629 Parking Spaces.",Katella Gateway Anaheim,Commercial,In Review,10/25/2021,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
200 S Anaheim Blvd,Zoning Code Amendment For Compliance With Sb9,Zoning Code Amendment - CA Senate Bill 9 (2021),Other,Approved,11/2/2021,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
8148 E Santa Ana Canyon Rd,"A Request For A Final Site Plan To Permit An Exterior Remodel, Conversion, And Expansion Of Garden Center To Enclosed Stockroom, With Parking Restriping And New Signage.",Target Expansion,Commercial,In Review,11/8/2021,NBARRERA@ANAHEIM.NET,(714) 765-5230,Anaheim,Nicholas Barrera
2780 E Wagner Ave,"A Conditional Use Permit To Remodel An Existing 2 Story Building To Permit A School With 10 Classrooms, Administration Space, And Restrooms.",Scholarship Prep School Campus,Commercial,In Review,11/23/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2850 E Coronado St,"A Request For A Conditional Use Permit To Permit Parking And Staging Of Equipment For A Construction Equipment Repair Shop, Including Onsite Fueling And Washing Of Equipment And Vehicles, And For Any Other Lawful Purpose, Including Showroom/Office Space.",Herc Equipment Rental,Commercial,Approved,12/3/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
4412 E La Palma Ave,Conceptual Development Review For Possible Cup To Convert A Single Family Home To A Contractor'S Office With Outdoor Storage Of Materials And Equipment.,La Palma Contractors' Offices,Industrial,In Review,12/6/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3330 W Lincoln Ave,A Request For Conditional Use Permit  To Convert Church With Day Care For 20 Kids To A Day Care/ Preschool With 118 Students  And Administrative Adjustment For Fewer Parking Stalls.,Anaheim Kids Academy Preschool,Commercial,Approved,12/7/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1321 S Sunkist St,A Request For Minor Conditional Use Permit For A Vinyl Fence Around Existing Outdoor Storage.,Vinyl Fence for Industrial Site,Industrial,Approved,12/8/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2429 E Ball Rd,Request For A Conditional Use Permit To Permit A Convenience Store With Alcoholic Beverage Sales In An Existing Retail Building. Request For Determination Of Public Convenience Or Necessity.,Ball Road Liquor Store,Commercial,Approved,12/14/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1041 N Kemp St,Request For A Conditional Use Permit To Permit A Towing And Impound Facility With Outdoor Storage.,Anaheim Fullerton Towing,Commercial,In Review,12/15/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2331 E Katella Ave,A Conceptual Development Review To Construct A Coffee Shop With A Drive-Through And Outdoor Dining.,Katella & Howell Starbucks,Commercial,In Review,12/20/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1236 N Magnolia Ave,"A Conditional Use Permit To Permit Outdoor Storage Of Oversized Vehicles That May Include Delivery Vehicles, Trailers, Shipping Containers, And Other Equipment.",GIC Anaheim Outdoor Storage,Commercial,In Review,12/27/2021,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
200 S Anaheim Blvd,"Zoning Code Amendment, Reclassification, And Amendment To The Land Use Element Of The General Plan To Implement 6th Cycle Housing Element",ZCA/RCL/GPA to Implement Housing Element,Commercial,In Review,1/4/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
779 S Peralta Hills Dr,Conceptual Development Review For A New Single-Family Residence With Basement And Tennis Court,Peralta Hills Single Family Residence,Residential,In Review,1/5/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
801 S State College Blvd,"Development Review Application For The Demolition Of An Existing Building And Development Of A New 4,456 Sq. Ft. Mcdonald'S Restaurant With Dual Drive-Thru Lanes, Parking, And Landscaping.",McDonalds State College,Commercial,Withdrawn,1/14/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
540 N Euclid St,"A Request For A Conditional Use Permit To Demolish An Existing Structure And Construct A New 3,879 Sq. Ft. Drive-Through Restaurant With A 698 Sq. Ft. Covered Patio.",Euclid In N Out,Commercial,In Review,1/19/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2100 E Katella Ave 100,Minor Conditional Use Permit For Type 41 Abc License For Beer & Wine.,The Trough ABC for beer and Wine,Commercial,Approved,1/19/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
920 S Beach Blvd,A City-Initiated Request To Revoke Or Modify A Conditional Use Permit No. 2494 For An Existing Motel,Travel Inn Motel,Commercial,In Review,1/24/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
3071 E Coronado St,"Conceptual Development Review: Demolish Existing Two-Story Industrial Building And Construct New 107,000 Sq. Ft. Industrial Building.",Rexford Industrial Building,Industrial,In Review,1/27/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
3191 E La Palma Ave,A Request To Amend A Conditional Use Permit To Permit The Expansion Of An Existing Brewery.,Brewery X Expansion,Industrial,In Review,2/1/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
681 N Euclid St,Minor Conditional Use Permit To Obtain A Liquor License.,BBQ Chicken Anaheim,Commercial,Approved,2/8/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
